concurso,data,resultado
2235,19/02/2020, 14  18  30  35  55  57 
2230,01/02/2020, 07  17  26  39  56  60 
2240,07/03/2020, 07  09  10  19  25  58 
2229,29/01/2020, 06  11  29  40  41  58 
2243,14/03/2020, 14  18  28  35  38  54 
2238,29/02/2020, 11  36  45  55  57  58 
2245,21/03/2020, 11  14  15  18  33  34 
2246,25/03/2020, 05  09  24  27  33  46 
2244,18/03/2020, 03  05  11  34  37  42 
2239,04/03/2020, 07  27  31  39  45  46 
2249,04/04/2020, 04  09  31  47  49  53 
2250,08/04/2020, 27  33  39  52  57  58 
2251,11/04/2020, 05  15  22  26  54  58 
2241,10/03/2020, 01  13  18  26  40  56 
2253,18/04/2020, 31  32  33  39  52  55 
2252,15/04/2020, 01  17  30  37  46  50 
2248,01/04/2020, 09  15  20  29  30  42 
2255,25/04/2020, 15  20  39  41  49  57 
2256,29/04/2020, 09  10  30  37  47  54 
2258,05/05/2020, 01  05  07  14  23  26 
2260,09/05/2020, 12  14  34  35  37  47 
2259,07/05/2020, 20  27  41  54  56  58 
2263,20/05/2020, 09  24  33  43  49  57 
2254,22/04/2020, 04  09  24  44  47  56 
2264,23/05/2020, 02  03  08  19  29  37 
2233,12/02/2020, 04  06  32  35  41  45 
2266,30/05/2020, 10  23  31  37  58  59 
2265,27/05/2020, 14  20  23  39  46  50 
2268,06/06/2020, 04  13  23  28  30  52 
2242,12/03/2020, 05  09  18  24  25  42 
2270,13/06/2020, 14  16  38  39  41  48 
2269,10/06/2020, 01  11  14  23  29  55 
2272,20/06/2020, 02  05  11  24  41  49 
2261,13/05/2020, 07  23  26  27  29  51 
2271,17/06/2020, 06  10  27  28  41  52 
2276,04/07/2020, 05  15  18  27  49  57 
2262,16/05/2020, 07  08  14  23  30  46 
2257,02/05/2020, 18  21  30  31  34  51 
2247,28/03/2020, 01  42  44  47  48  53 
2275,01/07/2020,  02  04  25  36  50  53 
2279,14/07/2020, 05  12  14  20  27  28 
2281,18/07/2020, 14  27  35  40  50  55 
2273,24/06/2020, 15  16  20  38  40  58 
2278,11/07/2020, 08  17  34  37  43  45 
2284,29/07/2020, 04  10  12  14  36  46 
2285,01/08/2020, 01  07  10  12  33  42 
2283,25/07/2020, 04  24  37  43  59  60 
2274,27/06/2020, 08  11  17  33  40  55 
2277,08/07/2020, 10  22  23  37  53  60 
2288,11/08/2020, 02  26  35  39  40  56 
2290,15/08/2020, 05  18  36  44  57  60 
2282,22/07/2020, 12  27  30  36  45  52 
2292,22/08/2020, 06  16  18  33  42  57 
2291,19/08/2020, 12  26  31  36   37  49 
2294,29/08/2020, 09  15  20  33  41  43 
2295,02/09/2020, 06  13  26  28  35  41 
2287,08/08/2020, 02  04  06  29  41  56 
2296,05/09/2020, 01  06  21  29  36  59 
2299,15/09/2020, 02   03  19  40  44  60 
2297,09/09/2020, 20  22  35  40  41  59 
2286,05/08/2020, 09  21  30  41  42  43 
2280,16/07/2020, 28  29  31  50  58  59 
2301,19/09/2020, 17  18  35  36  47  52 
2303,26/09/2020, 03  07  17  20  48  50 
2300,17/09/2020, 09  21  37  39  43  54 
2305,03/10/2020, 07  16  22  38  55  57 
2306,07/10/2020, 03  19  28  33  57  58 
2304,30/09/2020, 12  21  29  54  56  57 
2307,10/10/2020, 16  33  38  46  53  55 
2302,23/09/2020, 18  22  25  27  43  44 
2298,12/09/2020, 13  17  21  31  41  49 
2289,13/08/2020, 06  09  34  37  38  45 
2309,17/10/2020, 09  11  29  30  33  60 
2311,22/10/2020, 03  05  09  35  43  60 
2312,24/10/2020, 03  27  39  46  47  60 
2308,14/10/2020, 09  13  26  38  58  60 
2315,04/11/2020, 01  10  17  26  30  53 
2313,28/10/2020, 03  20  26  45  49  58 
2310,20/10/2020, 13  17  28  29  42  53 
2316,07/11/2020, 02  11  43  49  52  56 
2318,14/11/2020, 28  44  52  54  58  60 
2293,26/08/2020, 01  02  10  37  42  48 
2322,28/11/2020, 02  05  10  29  34  41 
2319,18/11/2020, 06  17  25  35  40  49 
2323,02/12/2020, 20  27  35  39  50  59 
2320,21/11/2020, 06  30  35  39  42  48 
2325,08/12/2020, 33  34  37  46  52  60 
2327,12/12/2020, 30  37  45  54  57  58 
2328,16/12/2020, 08  11  14  39  48  53 
2314,31/10/2020, 06  07  28  42  45  49 
2267,03/06/2020, 20  32  33  48  49  53 
2332,06/01/2021, 12  33  35  36  44  52 
2330,31/12/2020, 17  20  22  35  41  42 
2333,09/01/2021, 09  16  31  41  53  55 
2334,13/01/2021, 04  13  20  22  25  60 
2331,02/01/2021, 11  13  16  36  53  57 
2329,19/12/2020, 12  14  28  42  45  55 
2324,05/12/2020, 02  16  19  31  43  60 
2326,10/12/2020, 10  16  27  34  36  57 
2335,16/01/2021, 09  18  23  42  47  49 
2340,30/01/2021, 16  21  28  41  49  51 
2341,03/02/2021, 04  09  31  32  42  46 
2338,26/01/2021,  08  21  23  34  42  47 
2336,20/01/2021, 08  10  20  27  28  50 
2343,10/02/2021, 04  31  42  45  49  56 
2337,23/01/2021, 02  09  34  49  51  55 
2342,06/02/2021, 17  20  24  27  40  60 
2317,11/11/2020, 03  08  30  33  35  48 
2344,13/02/2021, 11  17  25  38  52  57 
2347,24/02/2021, 08  09  17  30  58  60 
2345,17/02/2021, 07  16  19  22  28  55 
2350,06/03/2021, 25  28  29  34  41  45 
2351,10/03/2021, 19  22  35  41  47  49 
2348,27/02/2021, 02  03  07  48  51  54 
2353,17/03/2021, 03  19  34  41  48  53 
2355,24/03/2021, 07  30  31  41  50  56 
2354,20/03/2021, 06  18  25  30  42  54 
2339,28/01/2021, 04  18  29  47  48  59 
2358,03/04/2021, 05  09  11  16  43  57 
2359,06/04/2021, 31  32  39  42  43  51 
2357,31/03/2021, 19  28  30  34  40  51 
2321,25/11/2020, 14  25  28  41  43  46 
2361,10/04/2021, 14  21  22  29  35  46 
